lot_id,account_id,security_id,acquisition_date,acquisition_price,original_quantity,remaining_quantity,cost_basis,source_system
LOT-0000001,ACC-0001,SEC-0138,2024-11-26,435.7648,4251.0,2323.0,1012281.63,DW
LOT-0000002,ACC-0001,SEC-0138,2022-05-08,321.0719,3517.0,3253.0,1044446.89,DW
LOT-0000003,ACC-0001,SEC-0138,2020-06-16,271.868,1167.0,834.0,226737.91,DW
LOT-0000004,ACC-0001,SEC-0044,2020-04-10,148.9606,2782.0,1573.0,234315.02,DW
LOT-0000005,ACC-0001,SEC-0044,2020-02-21,247.8156,1784.0,1501.0,371971.22,DW
LOT-0000006,ACC-0001,SEC-0044,2024-08-24,32.512,3168.0,2909.0,94577.41,DW
LOT-0000007,ACC-0001,SEC-0083,2024-10-29,70.8762,4302.0,3100.0,219716.22,DW
LOT-0000008,ACC-0001,SEC-0083,2024-11-30,496.0007,2196.0,2191.0,1086737.53,DW
LOT-0000009,ACC-0001,SEC-0083,2024-03-06,442.2524,1579.0,1480.0,654533.55,DW
LOT-0000010,ACC-0001,SEC-0181,2022-11-24,132.6907,1922.0,1830.0,242823.98,DW
LOT-0000011,ACC-0001,SEC-0181,2023-12-29,35.3758,3165.0,2731.0,96611.31,DW
LOT-0000012,ACC-0001,SEC-0181,2020-09-07,124.7305,3312.0,2821.0,351864.74,DW
LOT-0000013,ACC-0001,SEC-0075,2024-11-29,114.5764,482.0,384.0,43997.34,DW
LOT-0000014,ACC-0001,SEC-0075,2022-01-03,343.1915,146.0,124.0,42555.75,DW
LOT-0000015,ACC-0001,SEC-0196,2022-07-21,350.0752,2441.0,1500.0,525112.8,DW
LOT-0000016,ACC-0001,SEC-0196,2024-06-02,368.0741,602.0,395.0,145389.27,DW
LOT-0000017,ACC-0001,SEC-0196,2023-03-30,77.1934,3890.0,3410.0,263229.49,DW
LOT-0000018,ACC-0001,SEC-0196,2024-03-04,324.3723,3418.0,1826.0,592303.82,DW
LOT-0000019,ACC-0001,SEC-0147,2021-10-05,14.1526,3285.0,2365.0,33470.9,DW
LOT-0000020,ACC-0001,SEC-0069,2024-01-26,460.7481,3119.0,2249.0,1036222.48,DW
LOT-0000021,ACC-0001,SEC-0069,2023-09-14,52.4771,592.0,519.0,27235.61,DW
LOT-0000022,ACC-0001,SEC-0132,2021-08-12,367.7045,1823.0,1303.0,479118.96,DW
LOT-0000023,ACC-0001,SEC-0174,2021-04-21,51.2819,2812.0,2250.0,115384.27,DW
LOT-0000024,ACC-0001,SEC-0174,2021-07-06,149.6112,4712.0,2419.0,361909.49,DW
LOT-0000025,ACC-0001,SEC-0174,2020-03-03,332.6186,1578.0,1198.0,398477.08,DW
LOT-0000026,ACC-0001,SEC-0025,2022-01-23,102.4368,2020.0,1663.0,170352.4,DW
LOT-0000027,ACC-0001,SEC-0025,2020-07-10,449.9772,4778.0,3571.0,1606868.58,DW
LOT-0000028,ACC-0001,SEC-0035,2021-08-03,44.7959,4455.0,2254.0,100969.96,DW
LOT-0000029,ACC-0001,SEC-0035,2022-11-23,467.623,747.0,695.0,324997.98,DW
LOT-0000030,ACC-0001,SEC-0035,2021-09-24,216.2231,2777.0,1628.0,352011.21,DW
LOT-0000031,ACC-0001,SEC-0106,2022-04-12,477.682,3875.0,1970.0,941033.54,DW
LOT-0000032,ACC-0001,SEC-0106,2024-07-16,16.7588,1157.0,1112.0,18635.79,DW
LOT-0000033,ACC-0001,SEC-0106,2020-06-29,205.0078,1504.0,1288.0,264050.05,DW
LOT-0000034,ACC-0001,SEC-0016,2022-08-31,50.3896,2729.0,2205.0,111109.07,DW
LOT-0000035,ACC-0001,SEC-0016,2023-05-13,50.9626,487.0,468.0,23850.5,DW
LOT-0000036,ACC-0001,SEC-0016,2020-05-22,86.1348,1701.0,1349.0,116195.85,DW
LOT-0000037,ACC-0001,SEC-0071,2020-08-21,418.918,3437.0,1832.0,767457.78,DW
LOT-0000038,ACC-0001,SEC-0168,2020-03-04,126.9323,1298.0,1249.0,158538.44,DW
LOT-0000039,ACC-0001,SEC-0168,2024-04-08,232.1522,3083.0,2018.0,468483.14,DW
LOT-0000040,ACC-0001,SEC-0033,2020-10-05,332.4457,961.0,487.0,161901.06,DW
LOT-0000041,ACC-0001,SEC-0180,2022-02-19,476.9779,2663.0,2374.0,1132345.53,DW
LOT-0000042,ACC-0001,SEC-0180,2020-11-16,137.031,1922.0,1682.0,230486.14,DW
LOT-0000043,ACC-0001,SEC-0180,2020-01-09,141.6946,4443.0,3935.0,557568.25,DW
LOT-0000044,ACC-0001,SEC-0034,2024-10-02,174.1554,2204.0,1679.0,292406.92,DW
LOT-0000045,ACC-0001,SEC-0034,2023-06-12,359.0384,2926.0,1576.0,565844.52,DW
LOT-0000046,ACC-0001,SEC-0034,2022-05-14,260.2831,372.0,346.0,90057.95,DW
LOT-0000047,ACC-0001,SEC-0064,2020-08-01,60.4234,2912.0,2508.0,151541.89,DW
LOT-0000048,ACC-0001,SEC-0064,2023-08-22,372.9822,113.0,105.0,39163.13,DW
LOT-0000049,ACC-0001,SEC-0064,2024-11-06,129.8302,2412.0,1668.0,216556.77,DW
LOT-0000050,ACC-0001,SEC-0038,2024-01-29,97.6909,4806.0,2488.0,243054.96,DW
LOT-0000051,ACC-0001,SEC-0038,2020-06-01,457.8344,3729.0,2646.0,1211429.82,DW
LOT-0000052,ACC-0001,SEC-0038,2023-02-11,131.649,4588.0,3028.0,398633.17,DW
LOT-0000053,ACC-0001,SEC-0198,2024-04-01,256.0001,4520.0,2665.0,682240.27,DW
LOT-0000054,ACC-0001,SEC-0198,2020-05-29,262.7293,325.0,228.0,59902.28,DW
LOT-0000055,ACC-0001,SEC-0198,2022-04-24,434.3558,3890.0,2549.0,1107172.93,DW
LOT-0000056,ACC-0001,SEC-0197,2024-06-08,281.0148,139.0,83.0,23324.23,DW
LOT-0000057,ACC-0001,SEC-0191,2021-06-05,128.8662,1905.0,1878.0,242010.72,DW
LOT-0000058,ACC-0001,SEC-0191,2020-08-02,390.1841,3689.0,2853.0,1113195.24,DW
LOT-0000059,ACC-0001,SEC-0101,2020-06-15,130.1122,131.0,92.0,11970.32,DW
LOT-0000060,ACC-0001,SEC-0101,2023-08-12,275.3571,3216.0,2723.0,749797.38,DW
LOT-0000061,ACC-0001,SEC-0126,2020-08-30,332.0789,4260.0,3679.0,1221718.27,DW
LOT-0000062,ACC-0001,SEC-0126,2024-05-03,110.5452,4917.0,3491.0,385913.29,DW
LOT-0000063,ACC-0001,SEC-0126,2024-08-01,486.554,798.0,511.0,248629.09,DW
LOT-0000064,ACC-0001,SEC-0037,2024-09-03,461.4245,4497.0,3417.0,1576687.52,DW
LOT-0000065,ACC-0001,SEC-0037,2020-12-27,448.8332,2346.0,2050.0,920108.06,DW
LOT-0000066,ACC-0001,SEC-0037,2021-08-30,56.8327,754.0,686.0,38987.23,DW
LOT-0000067,ACC-0001,SEC-0148,2022-06-25,334.5975,740.0,478.0,159937.61,DW
LOT-0000068,ACC-0001,SEC-0148,2020-02-24,164.3544,4024.0,3422.0,562420.76,DW
LOT-0000069,ACC-0001,SEC-0148,2020-10-17,169.8633,2319.0,1430.0,242904.52,DW
LOT-0000070,ACC-0001,SEC-0148,2023-10-13,76.6948,3874.0,2148.0,164740.43,DW
LOT-0000071,ACC-0001,SEC-0162,2024-04-29,90.5437,2384.0,1677.0,151841.78,DW
LOT-0000072,ACC-0001,SEC-0162,2021-11-30,185.5608,3875.0,2813.0,521982.53,DW
LOT-0000073,ACC-0001,SEC-0162,2022-04-28,139.8539,688.0,398.0,55661.85,DW
LOT-0000074,ACC-0001,SEC-0193,2021-01-04,305.6182,1154.0,1071.0,327317.09,DW
LOT-0000075,ACC-0001,SEC-0193,2024-02-02,54.6943,1316.0,892.0,48787.32,DW
LOT-0000076,ACC-0001,SEC-0161,2022-01-15,33.9858,1564.0,1423.0,48361.79,DW
LOT-0000077,ACC-0001,SEC-0107,2020-02-16,231.5786,3766.0,2353.0,544904.45,DW
LOT-0000078,ACC-0001,SEC-0107,2022-04-30,59.9346,3990.0,2237.0,134073.7,DW
LOT-0000079,ACC-0001,SEC-0107,2024-07-28,416.8824,4915.0,2779.0,1158516.19,DW
LOT-0000080,ACC-0001,SEC-0107,2020-04-20,206.2851,3463.0,3355.0,692086.51,DW
LOT-0000081,ACC-0001,SEC-0097,2024-06-12,295.3387,1368.0,1240.0,366219.99,DW
LOT-0000082,ACC-0001,SEC-0097,2024-10-18,498.6091,1069.0,880.0,438776.01,DW
LOT-0000083,ACC-0001,SEC-0097,2020-05-19,73.1079,4535.0,4148.0,303251.57,DW
LOT-0000084,ACC-0001,SEC-0097,2023-01-22,70.0386,4717.0,2478.0,173555.65,DW
LOT-0000085,ACC-0001,SEC-0097,2021-09-13,222.2466,3650.0,2730.0,606733.22,DW
LOT-0000086,ACC-0001,SEC-0116,2022-12-08,115.2109,1017.0,651.0,75002.3,DW
LOT-0000087,ACC-0001,SEC-0116,2024-02-01,26.9782,3134.0,1952.0,52661.45,DW
LOT-0000088,ACC-0001,SEC-0020,2023-04-07,254.4569,4426.0,3273.0,832837.43,DW
LOT-0000089,ACC-0001,SEC-0020,2024-06-05,147.0902,772.0,463.0,68102.76,DW
LOT-0000090,ACC-0001,SEC-0020,2020-06-13,267.6489,3191.0,2875.0,769490.59,DW
LOT-0000091,ACC-0001,SEC-0163,2020-07-14,359.5516,2450.0,2182.0,784541.59,DW
LOT-0000092,ACC-0001,SEC-0163,2022-12-28,457.2117,2562.0,1779.0,813379.61,DW
LOT-0000093,ACC-0001,SEC-0163,2023-11-29,22.7709,3026.0,1557.0,35454.29,DW
LOT-0000094,ACC-0001,SEC-0024,2020-05-16,391.4838,387.0,385.0,150721.26,DW
LOT-0000095,ACC-0001,SEC-0104,2023-08-13,487.2501,591.0,490.0,238752.55,DW
LOT-0000096,ACC-0001,SEC-0192,2023-06-05,271.5079,3977.0,3454.0,937788.29,DW
LOT-0000097,ACC-0001,SEC-0192,2020-08-20,498.2321,1175.0,1085.0,540581.83,DW
LOT-0000098,ACC-0001,SEC-0072,2020-03-19,495.8555,951.0,588.0,291563.03,DW
LOT-0000099,ACC-0001,SEC-0072,2023-02-19,405.043,3518.0,3367.0,1363779.78,DW
LOT-0000100,ACC-0001,SEC-0072,2024-10-05,354.6919,1823.0,1429.0,506854.73,DW
LOT-0000101,ACC-0001,SEC-0095,2024-02-14,285.9234,1022.0,1016.0,290498.17,DW
LOT-0000102,ACC-0001,SEC-0095,2022-02-27,275.6411,960.0,498.0,137269.27,DW
LOT-0000103,ACC-0001,SEC-0117,2024-10-22,267.9598,103.0,99.0,26528.02,DW
LOT-0000104,ACC-0001,SEC-0117,2023-10-16,405.1583,1770.0,1042.0,422174.95,DW
LOT-0000105,ACC-0001,SEC-0117,2020-06-02,423.6992,1686.0,861.0,364805.01,DW
LOT-0000106,ACC-0001,SEC-0117,2021-08-18,355.3012,794.0,441.0,156687.83,DW
LOT-0000107,ACC-0001,SEC-0125,2021-12-20,431.728,4807.0,3301.0,1425134.13,DW
LOT-0000108,ACC-0001,SEC-0125,2021-03-16,203.8418,595.0,387.0,78886.78,DW
LOT-0000109,ACC-0001,SEC-0125,2024-02-26,488.1717,3689.0,2650.0,1293655.0,DW
LOT-0000110,ACC-0001,SEC-0084,2023-02-21,95.3593,4847.0,4104.0,391354.57,DW
LOT-0000111,ACC-0001,SEC-0084,2021-06-24,395.626,1194.0,949.0,375449.07,DW
LOT-0000112,ACC-0001,SEC-0149,2023-12-08,195.4082,3697.0,2393.0,467611.82,DW
LOT-0000113,ACC-0001,SEC-0149,2023-12-04,367.1272,4749.0,4627.0,1698697.55,DW
LOT-0000114,ACC-0002,SEC-0146,2023-06-07,112.7453,3497.0,2361.0,266191.65,DW
LOT-0000115,ACC-0002,SEC-0146,2020-07-04,62.937,106.0,73.0,4594.4,DW
LOT-0000116,ACC-0002,SEC-0146,2020-10-23,215.6301,915.0,647.0,139512.67,DW
LOT-0000117,ACC-0002,SEC-0146,2022-10-18,182.1033,1939.0,1773.0,322869.15,DW
LOT-0000118,ACC-0002,SEC-0146,2020-06-30,433.3849,3290.0,2775.0,1202643.1,DW
LOT-0000119,ACC-0002,SEC-0009,2020-03-05,26.3723,198.0,125.0,3296.54,DW
LOT-0000120,ACC-0002,SEC-0009,2024-05-01,46.3582,934.0,642.0,29761.96,DW
LOT-0000121,ACC-0002,SEC-0009,2020-10-24,46.7512,4715.0,4663.0,218000.85,DW
