lotId,portfolioId,securityTicker,positionDate,quantity,unitPrice,marketValue,lotCostBasis,unrealizedPnL,ccy
LOT-0000001,PORT-0001,BAMP,2024-12-31,2323.0,55.7353,129473.1,1012281.63,-882808.53,USD
LOT-0000002,PORT-0001,BAMP,2024-12-31,3253.0,55.7214,181261.71,1044446.89,-863185.18,USD
LOT-0000003,PORT-0001,BAMP,2024-12-31,834.0,55.7031,46456.39,226737.91,-180281.52,USD
LOT-0000004,PORT-0001,HASS,2024-12-31,1573.0,259.2277,407765.17,234315.02,173450.15,USD
LOT-0000005,PORT-0001,HASS,2024-12-31,1501.0,260.0762,390374.38,371971.22,18403.16,USD
LOT-0000006,PORT-0001,HASS,2024-12-31,2909.0,260.7283,758458.62,94577.41,663881.21,USD
LOT-0000007,PORT-0001,S2,2024-12-31,3100.0,480.9069,1490811.39,219716.22,1271095.17,USD
LOT-0000008,PORT-0001,S2,2024-12-31,2191.0,479.8033,1051249.03,1086737.53,-35488.5,USD
LOT-0000009,PORT-0001,S2,2024-12-31,1480.0,480.4614,711082.87,654533.55,56549.32,USD
LOT-0000010,PORT-0001,L11,2024-12-31,1830.0,121.6419,222604.68,242823.98,-20219.3,USD
LOT-0000011,PORT-0001,L11,2024-12-31,2731.0,121.6052,332103.8,96611.31,235492.49,USD
LOT-0000012,PORT-0001,L11,2024-12-31,2821.0,121.2978,342181.09,351864.74,-9683.65,USD
LOT-0000013,PORT-0001,I5,2024-12-31,384.0,22.5319,8652.25,43997.34,-35345.09,USD
LOT-0000014,PORT-0001,I5,2024-12-31,124.0,22.5267,2793.31,42555.75,-39762.44,USD
LOT-0000015,PORT-0001,WIL,2024-12-31,1500.0,311.4319,467147.85,525112.8,-57964.95,USD
LOT-0000016,PORT-0001,WIL,2024-12-31,395.0,309.7209,122339.76,145389.27,-23049.51,USD
LOT-0000017,PORT-0001,WIL,2024-12-31,3410.0,310.5128,1058848.65,263229.49,795619.16,USD
LOT-0000018,PORT-0001,WIL,2024-12-31,1826.0,310.3629,566722.66,592303.82,-25581.16,USD
LOT-0000019,PORT-0001,DLA,2024-12-31,2365.0,357.625,845783.12,33470.9,812312.22,USD
LOT-0000020,PORT-0001,RAPS,2024-12-31,2249.0,438.401,985963.85,1036222.48,-50258.63,USD
LOT-0000021,PORT-0001,RAPS,2024-12-31,519.0,439.5244,228113.16,27235.61,200877.55,USD
LOT-0000022,PORT-0001,GAFA,2024-12-31,1303.0,119.6271,155874.11,479118.96,-323244.85,USD
LOT-0000023,PORT-0001,I10,2024-12-31,2250.0,86.4182,194440.95,115384.27,79056.68,USD
LOT-0000024,PORT-0001,I10,2024-12-31,2419.0,86.6075,209503.54,361909.49,-152405.95,USD
LOT-0000025,PORT-0001,I10,2024-12-31,1198.0,86.4871,103611.55,398477.08,-294865.53,USD
LOT-0000026,PORT-0001,SLL,2024-12-31,1663.0,22.7546,37840.9,170352.4,-132511.5,USD
LOT-0000027,PORT-0001,SLL,2024-12-31,3571.0,22.8348,81543.07,1606868.58,-1525325.51,USD
LOT-0000028,PORT-0001,C1,2024-12-31,2254.0,366.818,826807.77,100969.96,725837.81,USD
