record_id,source_system,account_ref,security_ref,security_ref_type,security_master_id,position_date,quantity,price,market_value,cost_basis,unrealized_gl,asset_class,currency,etl_loaded_at
POS-C-877572-SWM31YIHA,TOPAZ,C-877572,SWM31YIHA,CUSIP,SEC-0016,2024-12-31,4022.0,350.3249,1409006.75,251155.42,1157851.33,Commodities,USD,2025-01-02 06:00:00
POS-C-877572-RIPZIM6CF,TOPAZ,C-877572,RIPZIM6CF,CUSIP,SEC-0020,2024-12-31,6611.0,361.0511,2386908.82,1670430.78,716478.04,Fixed Income,USD,2025-01-02 06:00:00
POS-C-877572-VXDP5GJLQ,TOPAZ,C-877572,VXDP5GJLQ,CUSIP,,2024-12-31,385.0,470.5941,181178.73,150721.26,30457.47,,USD,2025-01-02 06:00:00
POS-C-877572-13JCAT9MX,TOPAZ,C-877572,13JCAT9MX,CUSIP,SEC-0025,2024-12-31,5234.0,22.7974,119321.59,1777220.98,-1657899.39,Alternatives,USD,2025-01-02 06:00:00
POS-C-877572-ZQAKOIXNT,TOPAZ,C-877572,ZQAKOIXNT,CUSIP,SEC-0033,2024-12-31,487.0,250.6117,122047.9,161901.06,-39853.16,Fixed Income,USD,2025-01-02 06:00:00
POS-C-877572-TMQLIZL08,TOPAZ,C-877572,TMQLIZL08,CUSIP,,2024-12-31,3601.0,39.099,140795.5,948309.39,-807513.89,,USD,2025-01-02 06:00:00
POS-C-877572-HR09SKDGI,TOPAZ,C-877572,HR09SKDGI,CUSIP,SEC-0035,2024-12-31,4577.0,367.3655,1681431.89,777979.15,903452.74,Commodities,USD,2025-01-02 06:00:00
POS-C-877572-QPGB7R3OC,TOPAZ,C-877572,QPGB7R3OC,CUSIP,,2024-12-31,6153.0,358.7077,2207128.48,2535782.81,-328654.33,,USD,2025-01-02 06:00:00
POS-C-877572-FUK9E1V2I,TOPAZ,C-877572,FUK9E1V2I,CUSIP,SEC-0038,2024-12-31,8162.0,58.6712,478874.33,1853117.95,-1374243.62,Commodities,USD,2025-01-02 06:00:00
POS-C-877572-3U1GSPK9P,TOPAZ,C-877572,3U1GSPK9P,CUSIP,SEC-0044,2024-12-31,5983.0,259.9977,1555566.24,700863.65,854702.59,Real Estate,USD,2025-01-02 06:00:00
POS-C-877572-2ATQYYV37,TOPAZ,C-877572,2ATQYYV37,CUSIP,SEC-0064,2024-12-31,4281.0,61.2252,262105.08,407261.79,-145156.71,Real Estate,USD,2025-01-02 06:00:00
POS-C-877572-HX8BM92H3,TOPAZ,C-877572,HX8BM92H3,CUSIP,SEC-0069,2024-12-31,2768.0,439.5284,1216614.61,1063458.09,153156.52,Cash,USD,2025-01-02 06:00:00
POS-C-877572-XAA2ILGB0,TOPAZ,C-877572,XAA2ILGB0,CUSIP,SEC-0071,2024-12-31,1832.0,270.9384,496359.15,767457.78,-271098.63,Alternatives,USD,2025-01-02 06:00:00
POS-C-877572-CQNVQHW06,TOPAZ,C-877572,CQNVQHW06,CUSIP,SEC-0072,2024-12-31,5384.0,268.6373,1446343.22,2162197.54,-715854.32,Real Estate,USD,2025-01-02 06:00:00
POS-C-877572-4X1ZHQIMQ,TOPAZ,C-877572,4X1ZHQIMQ,CUSIP,SEC-0075,2024-12-31,508.0,22.5838,11472.57,86553.09,-75080.52,Equity,USD,2025-01-02 06:00:00
POS-C-877572-YRYBOVAKH,TOPAZ,C-877572,YRYBOVAKH,CUSIP,SEC-0083,2024-12-31,6771.0,481.2012,3258213.33,1960987.3,1297226.03,Equity,USD,2025-01-02 06:00:00
POS-C-877572-LA0GNZS43,TOPAZ,C-877572,LA0GNZS43,CUSIP,SEC-0084,2024-12-31,5053.0,275.2748,1390963.56,766803.64,624159.92,Fixed Income,USD,2025-01-02 06:00:00
POS-C-877572-V7LN23Y30,TOPAZ,C-877572,V7LN23Y30,CUSIP,SEC-0095,2024-12-31,1514.0,324.2796,490959.31,427767.44,63191.87,Commodities,USD,2025-01-02 06:00:00
POS-C-877572-4D145BM1E,TOPAZ,C-877572,4D145BM1E,CUSIP,SEC-0097,2024-12-31,11476.0,288.5026,3310855.84,1888536.44,1422319.4,Fixed Income,USD,2025-01-02 06:00:00
