fund_code,isin_identifier,nav_date,shares_held,nav_per_share,total_nav_value,book_cost,currency_code
FND-0001,USSWM31YIHA3,2024-12-31,4022.0,350.7079,1410547.17,251155.42,USD
FND-0001,USRIPZIM6CF6,2024-12-31,6611.0,361.9457,2392823.02,1670430.78,USD
FND-0001,USVXDP5GJLQ7,2024-12-31,385.0,471.915,181687.27,150721.26,USD
FND-0001,US13JCAT9MX6,2024-12-31,5234.0,22.749,119068.27,1777220.98,USD
FND-0001,USZQAKOIXNT6,2024-12-31,487.0,251.096,122283.75,161901.06,USD
FND-0001,USTMQLIZL088,2024-12-31,3601.0,39.2656,141395.43,948309.39,USD
FND-0001,USHR09SKDGI6,2024-12-31,4577.0,367.4156,1681661.2,777979.15,USD
FND-0001,USQPGB7R3OC9,2024-12-31,6153.0,360.0491,2215382.11,2535782.81,USD
FND-0001,USFUK9E1V2I8,2024-12-31,8162.0,58.8629,480438.99,1853117.95,USD
FND-0001,US3U1GSPK9P5,2024-12-31,5983.0,259.3106,1551455.32,700863.65,USD
FND-0001,US2ATQYYV374,2024-12-31,4281.0,61.4254,262962.14,407261.79,USD
FND-0001,USHX8BM92H30,2024-12-31,2768.0,437.4238,1210789.08,1063458.09,USD
FND-0001,USXAA2ILGB09,2024-12-31,1832.0,270.1668,494945.58,767457.78,USD
FND-0001,USCQNVQHW061,2024-12-31,5384.0,268.1212,1443564.54,2162197.54,USD
FND-0001,US4X1ZHQIMQ0,2024-12-31,508.0,22.4977,11428.83,86553.09,USD
FND-0001,USYRYBOVAKH6,2024-12-31,6771.0,480.9087,3256232.81,1960987.3,USD
FND-0001,USLA0GNZS438,2024-12-31,5053.0,275.64,1392808.92,766803.64,USD
FND-0001,USV7LN23Y302,2024-12-31,1514.0,324.0617,490629.41,427767.44,USD
FND-0001,US4D145BM1E3,2024-12-31,11476.0,289.4598,3321840.66,1888536.44,USD
FND-0001,USZSEDFQS3D3,2024-12-31,2815.0,109.6525,308671.79,761767.7,USD
FND-0001,UST0SEKKBP27,2024-12-31,490.0,25.0461,12272.59,238752.55,USD
FND-0001,USXD9CSS9TO3,2024-12-31,4370.0,135.2921,591226.48,1223719.38,USD
FND-0001,USNN0MCIXDU2,2024-12-31,10724.0,478.0084,5126162.08,2529580.85,USD
FND-0001,USZHWY9HECG4,2024-12-31,2603.0,156.6455,407748.24,127663.75,USD
FND-0001,US389YZTKKF1,2024-12-31,2443.0,393.1871,960556.09,970195.81,USD
FND-0001,USF5L9MO1SD6,2024-12-31,6338.0,436.9987,2769697.76,2797675.91,USD
FND-0001,USJIDKNWI5F1,2024-12-31,7681.0,280.6246,2155477.55,1856260.65,USD
FND-0001,USM3TZK3NY96,2024-12-31,1303.0,119.2931,155438.91,479118.96,USD
FND-0001,USM72JEYN931,2024-12-31,6410.0,55.5243,355910.76,2283466.43,USD
FND-0001,US0AXYCELOS4,2024-12-31,2365.0,357.8042,846206.93,33470.9,USD
FND-0001,USE6KWHEF0V7,2024-12-31,7478.0,133.0726,995116.9,1130003.32,USD
FND-0001,US231YV2STN1,2024-12-31,7020.0,173.8712,1220575.82,2166309.37,USD
FND-0001,USIHX74D0GJ5,2024-12-31,1423.0,351.9412,500812.33,48361.79,USD
FND-0001,USG10UR5L8A6,2024-12-31,4888.0,205.0785,1002423.71,729486.16,USD
