ACCT_NUM,SEC_CUSIP,AS_OF_DT,UNITS,MKT_PRC,MKT_VAL,COST_BASIS,UNRLZD_GL,CCY
C-877572,SWM31YIHA,2024-12-31,4022.0,350.3249,1409006.75,251155.42,1157851.33,USD
C-877572,RIPZIM6CF,2024-12-31,6611.0,361.0511,2386908.82,1670430.78,716478.04,USD
C-877572,VXDP5GJLQ,2024-12-31,385.0,470.5941,181178.73,150721.26,30457.47,USD
C-877572,13JCAT9MX,2024-12-31,5234.0,22.7974,119321.59,1777220.98,-1657899.39,USD
C-877572,ZQAKOIXNT,2024-12-31,487.0,250.6117,122047.9,161901.06,-39853.16,USD
C-877572,TMQLIZL08,2024-12-31,3601.0,39.099,140795.5,948309.39,-807513.89,USD
C-877572,HR09SKDGI,2024-12-31,4577.0,367.3655,1681431.89,777979.15,903452.74,USD
C-877572,QPGB7R3OC,2024-12-31,6153.0,358.7077,2207128.48,2535782.81,-328654.33,USD
C-877572,FUK9E1V2I,2024-12-31,8162.0,58.6712,478874.33,1853117.95,-1374243.62,USD
C-877572,3U1GSPK9P,2024-12-31,5983.0,259.9977,1555566.24,700863.65,854702.59,USD
C-877572,2ATQYYV37,2024-12-31,4281.0,61.2252,262105.08,407261.79,-145156.71,USD
C-877572,HX8BM92H3,2024-12-31,2768.0,439.5284,1216614.61,1063458.09,153156.52,USD
C-877572,XAA2ILGB0,2024-12-31,1832.0,270.9384,496359.15,767457.78,-271098.63,USD
C-877572,CQNVQHW06,2024-12-31,5384.0,268.6373,1446343.22,2162197.54,-715854.32,USD
C-877572,4X1ZHQIMQ,2024-12-31,508.0,22.5838,11472.57,86553.09,-75080.52,USD
C-877572,YRYBOVAKH,2024-12-31,6771.0,481.2012,3258213.33,1960987.3,1297226.03,USD
C-877572,LA0GNZS43,2024-12-31,5053.0,275.2748,1390963.56,766803.64,624159.92,USD
C-877572,V7LN23Y30,2024-12-31,1514.0,324.2796,490959.31,427767.44,63191.87,USD
C-877572,4D145BM1E,2024-12-31,11476.0,288.5026,3310855.84,1888536.44,1422319.4,USD
C-877572,ZSEDFQS3D,2024-12-31,2815.0,109.5016,308247.0,761767.7,-453520.7,USD
C-877572,T0SEKKBP2,2024-12-31,490.0,24.9586,12229.71,238752.55,-226522.84,USD
C-877572,XD9CSS9TO,2024-12-31,4370.0,135.533,592279.21,1223719.38,-631440.17,USD
C-877572,NN0MCIXDU,2024-12-31,10724.0,477.4744,5120435.47,2529580.85,2590854.62,USD
C-877572,ZHWY9HECG,2024-12-31,2603.0,157.3925,409692.68,127663.75,282028.93,USD
C-877572,389YZTKKF,2024-12-31,2443.0,394.7194,964299.49,970195.81,-5896.32,USD
C-877572,F5L9MO1SD,2024-12-31,6338.0,436.7211,2767938.33,2797675.91,-29737.58,USD
C-877572,JIDKNWI5F,2024-12-31,7681.0,280.2796,2152827.61,1856260.65,296566.96,USD
C-877572,M3TZK3NY9,2024-12-31,1303.0,119.3674,155535.72,479118.96,-323583.24,USD
C-877572,M72JEYN93,2024-12-31,6410.0,55.6966,357015.21,2283466.43,-1926451.22,USD
C-877572,0AXYCELOS,2024-12-31,2365.0,357.0571,844440.04,33470.9,810969.14,USD
C-877572,E6KWHEF0V,2024-12-31,7478.0,132.6526,991976.14,1130003.32,-138027.18,USD
